timestamp,event_id,latitude,longitude,event_type,expected_attendance,duration_hours,impact_radius_km
2025-09-11 19:35:23.549648,event_0000,51.18686157977848,71.46063754798782,construction,,9.063548539754159,0.7832767872893027
2025-09-17 12:45:53.549648,event_0001,51.15277987540801,71.44486383078493,concert,2541.0,3.538565052203842,4.049008111881761
2025-09-12 03:53:12.549648,event_0002,51.159029272715216,71.4408455628441,concert,7514.0,3.5264169042434417,7.580558050008565
2025-09-14 06:19:53.549648,event_0003,51.16420172804199,71.45200066676081,concert,11243.0,4.30347334896759,6.346520145018263
2025-09-11 02:38:00.549648,event_0004,51.16164068624456,71.4493747359924,concert,21675.0,3.125941560496492,2.1324469926965888
2025-09-12 04:20:38.549648,event_0005,51.15269692279034,71.43877787229158,accident,,3.195440247298464,0.5447088898495714
2025-09-11 14:52:30.549648,event_0006,51.1499261780397,71.39014012103453,concert,12082.0,3.554158587223826,3.0521534623876962
2025-09-11 12:54:11.549648,event_0007,51.14563320409583,71.45476279350525,festival,32978.0,6.750499989555864,6.686325878427768
2025-09-17 01:47:54.549648,event_0008,51.10044762602716,71.42673282427167,accident,,2.618965440904311,0.3011472559769547
2025-09-17 13:28:33.549648,event_0009,51.15040258038646,71.44905884399391,construction,,4.505232086745703,1.6650759375681408
2025-09-13 00:44:30.549648,event_0010,51.18435845991478,71.42353487005869,accident,,2.3246661913821294,1.3895460406449247
2025-09-11 11:12:41.549648,event_0011,51.17250092841247,71.46065311615263,concert,34321.0,3.105964473156774,5.2019729582309555
2025-09-12 10:40:52.549648,event_0012,51.129620839101314,71.41811511305039,construction,,7.359734758929812,1.892201046592738
2025-09-12 07:02:13.549648,event_0013,51.19546554594876,71.42247390550972,concert,8234.0,3.950517931162934,6.232051231659451
